,name,N,fm,d,h_MM,h_mm,plo_M,plo_m,seed,network_id,node,label,degree,indegree,outdegree,pagerank
0,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,961,0,,1,41,0.0006135193469241294
1,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,679,0,,3,4,0.0013038416234901003
2,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,695,0,,2,6,0.000530544748614069
3,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,976,0,,3,24,0.0004786461620980265
4,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,539,0,,2,51,0.0004841942325228378
5,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,337,0,,2,15,0.0002869679954346729
6,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,708,0,,0,12,0.0001534259312689142
7,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,292,0,,2,13,0.00024651001949359887
8,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,422,0,,2,14,0.0005560183475744214
9,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,960,0,,2,34,0.0008993470680034095
10,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,994,0,,3,58,0.0015030377828252196
11,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,29,0,,2,17,0.00034663333452333194
12,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,615,0,,3,4,0.0010077971673965785
13,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,900,0,,1,26,0.00018625234028058843
14,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,107,0,,0,40,0.0001534259312689142
15,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,860,0,,2,6,0.0006985806138991721
16,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,51,0,,2,31,0.0006029098019131186
17,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,59,0,,1,40,0.0001541427738023657
18,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,267,0,,1,6,0.00047499778749399266
19,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,991,0,,0,11,0.0001534259312689142
20,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,524,0,,2,30,0.0010441278378258941
21,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,727,0,,1,12,0.00039142257435357945
22,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,517,0,,1,13,0.00015949155105179138
23,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,472,0,,2,9,0.00035705639060065503
24,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,499,0,,2,97,0.0010248668719927058
25,DH,1000,0.1,0.03,0.0,0.0,1.5,2.5,2900411574,,328,0,,3,90,0.00040207831911402237
