,name,N,fm,d,h_MM,h_mm,plo_M,plo_m,seed,network_id,node,label,degree,indegree,outdegree,pagerank
0,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,687,0,,14,13,0.0002724593667785495
1,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,223,0,,15,13,0.00039861929237816266
2,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,149,0,,12,7,0.0002656821683541496
3,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,411,0,,17,61,0.0004194619479564936
4,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,410,0,,15,6,0.00044468001876553267
5,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,109,0,,13,18,0.00038565932788662145
6,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,407,0,,13,9,0.000241225785229167
7,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,167,0,,13,22,0.0004758975252521409
8,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,212,0,,15,22,0.00041007951054766126
9,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,298,0,,13,35,0.00025749106795362997
10,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,396,0,,12,19,0.0003919413861784026
11,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,234,0,,19,8,0.0009198486639949139
12,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,726,0,,16,19,0.0006260397235701214
13,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,638,0,,14,12,0.0006943267346199254
14,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,863,0,,14,25,0.0005448744136137927
15,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,607,0,,16,14,0.0006538749766567135
16,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,704,0,,11,20,0.0005166675347969995
17,DH,1000,0.1,0.03,0.0,0.0,2.5,1.5,1693476864,,858,0,,16,28,0.0006594463654101193
