,name,N,m,fm,h_MM,h_mm,seed,network_id,node,label,degree,indegree,outdegree,pagerank
0,PAH,1000,2,0.4,0.2,0.0,3486807689,,897,0,2,,,0.0005551118019311465
1,PAH,1000,2,0.4,0.2,0.0,3486807689,,832,0,2,,,0.0005536489535579864
2,PAH,1000,2,0.4,0.2,0.0,3486807689,,946,0,2,,,0.0005641928257962981
3,PAH,1000,2,0.4,0.2,0.0,3486807689,,721,0,2,,,0.0006001227515782418
4,PAH,1000,2,0.4,0.2,0.0,3486807689,,605,0,2,,,0.0005565272879257334
5,PAH,1000,2,0.4,0.2,0.0,3486807689,,790,0,2,,,0.0005864611153201599
6,PAH,1000,2,0.4,0.2,0.0,3486807689,,305,0,2,,,0.0005252507747421758
7,PAH,1000,2,0.4,0.2,0.0,3486807689,,270,0,4,,,0.0010267263881836963
8,PAH,1000,2,0.4,0.2,0.0,3486807689,,410,0,5,,,0.0012905983765416015
9,PAH,1000,2,0.4,0.2,0.0,3486807689,,264,0,4,,,0.001014387032995382
10,PAH,1000,2,0.4,0.2,0.0,3486807689,,21,0,15,,,0.0034193179538552186
11,PAH,1000,2,0.4,0.2,0.0,3486807689,,784,0,2,,,0.0005316910267884217
12,PAH,1000,2,0.4,0.2,0.0,3486807689,,237,0,2,,,0.0005509102254719688
13,PAH,1000,2,0.4,0.2,0.0,3486807689,,283,0,3,,,0.0008015165042460471
14,PAH,1000,2,0.4,0.2,0.0,3486807689,,460,0,4,,,0.00100364086752681
15,PAH,1000,2,0.4,0.2,0.0,3486807689,,631,0,2,,,0.0005335377013191679
16,PAH,1000,2,0.4,0.2,0.0,3486807689,,879,0,2,,,0.0005547287297415644
17,PAH,1000,2,0.4,0.2,0.0,3486807689,,672,0,2,,,0.0005717461072068144
18,PAH,1000,2,0.4,0.2,0.0,3486807689,,688,0,2,,,0.0005695780973726563
19,PAH,1000,2,0.4,0.2,0.0,3486807689,,789,0,2,,,0.0005209363528956569
20,PAH,1000,2,0.4,0.2,0.0,3486807689,,321,0,6,,,0.0015459121149916293
21,PAH,1000,2,0.4,0.2,0.0,3486807689,,924,0,2,,,0.0005559163423625067
22,PAH,1000,2,0.4,0.2,0.0,3486807689,,240,0,7,,,0.0016608919505420605
