,name,N,m,fm,h_MM,h_mm,tc,seed,network_id,node,label,degree,indegree,outdegree,pagerank
0,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,837,0,3,,,0.0008271314234881504
1,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,395,0,3,,,0.0007504781695561681
2,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,976,0,2,,,0.0005447433720830014
3,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,590,0,2,,,0.0005506794290740453
4,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,878,0,2,,,0.0005325270932930745
5,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,185,0,5,,,0.0012512439566410773
6,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,422,0,6,,,0.0015388626175103113
7,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,229,0,5,,,0.001241962109080518
8,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,367,0,5,,,0.001247134450896991
9,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,683,0,2,,,0.0005510349560145681
10,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,711,0,2,,,0.0005647771281601541
11,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,201,0,5,,,0.001231239953924304
12,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,253,0,4,,,0.001028237591312073
13,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,513,0,2,,,0.0005719625012793337
14,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,608,0,2,,,0.0005161728277624009
15,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,751,0,2,,,0.0005363432759520768
16,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,855,0,2,,,0.0005342992499032364
17,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,842,0,2,,,0.0005432352910720149
18,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,232,0,3,,,0.0008184608814757661
19,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,916,0,2,,,0.000540942583640654
20,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,790,0,2,,,0.0005730867435542221
21,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,486,0,2,,,0.0005531895169325575
22,PATCH,1000,2,0.5,0.5,0.0,0.2,1421848753,,324,0,4,,,0.0010329129427686396
