,name,N,fm,d,plo_M,plo_m,seed,network_id,node,label,degree,indegree,outdegree,pagerank
0,DPA,1000,0.2,0.01,2.5,1.5,415428574,,806,0,,10,1,0.0004391841794672497
1,DPA,1000,0.2,0.01,2.5,1.5,415428574,,211,0,,11,1,0.0017982125065376198
2,DPA,1000,0.2,0.01,2.5,1.5,415428574,,114,0,,8,0,0.0008379978232087622
3,DPA,1000,0.2,0.01,2.5,1.5,415428574,,559,0,,11,1,0.0016586353053674016
4,DPA,1000,0.2,0.01,2.5,1.5,415428574,,851,0,,7,6,0.0006577033615518457
5,DPA,1000,0.2,0.01,2.5,1.5,415428574,,636,0,,9,0,0.000662175146780274
6,DPA,1000,0.2,0.01,2.5,1.5,415428574,,458,0,,10,0,0.0007544232617839043
7,DPA,1000,0.2,0.01,2.5,1.5,415428574,,183,0,,8,1,0.00041947112907079847
8,DPA,1000,0.2,0.01,2.5,1.5,415428574,,237,0,,11,2,0.0010205021307178313
9,DPA,1000,0.2,0.01,2.5,1.5,415428574,,274,0,,12,2,0.002798098252533318
10,DPA,1000,0.2,0.01,2.5,1.5,415428574,,532,0,,4,0,0.00039612402972120323
11,DPA,1000,0.2,0.01,2.5,1.5,415428574,,497,0,,8,7,0.000404268811822966
12,DPA,1000,0.2,0.01,2.5,1.5,415428574,,986,0,,10,1,0.0005312998535253898
13,DPA,1000,0.2,0.01,2.5,1.5,415428574,,484,0,,14,0,0.0022269874726986542
14,DPA,1000,0.2,0.01,2.5,1.5,415428574,,364,0,,13,0,0.0012096432962553875
15,DPA,1000,0.2,0.01,2.5,1.5,415428574,,556,0,,8,2,0.000404268811822966
16,DPA,1000,0.2,0.01,2.5,1.5,415428574,,944,0,,10,1,0.0009510525885708664
17,DPA,1000,0.2,0.01,2.5,1.5,415428574,,779,0,,11,1,0.0006380787074901048
18,DPA,1000,0.2,0.01,2.5,1.5,415428574,,637,0,,10,3,0.003236158724922679
19,DPA,1000,0.2,0.01,2.5,1.5,415428574,,256,0,,10,0,0.0006882430083979995
20,DPA,1000,0.2,0.01,2.5,1.5,415428574,,75,0,,9,4,0.0007583580821650365
21,DPA,1000,0.2,0.01,2.5,1.5,415428574,,245,0,,9,7,0.00041722527608361324
